code,name,r,g,b
150,Dusty Rose Ultra Very Dark,182,17,76
151,Dusty Rose Very Light,248,208,216
152,Shell Pink Medium Light,224,164,160
153,Violet Very Light,232,204,224
154,Grape Very Dark,77,38,51
155,Blue Violet Medium Dark,141,126,179
156,Blue Violet Medium Light,145,150,195
157,Cornflower Blue Very Light,186,196,226
158,Cornflower Blue Medium Very Dark,60,64,112
159,Blue Gray Light,189,192,214
160,Blue Gray Medium,142,147,182
161,Blue Gray,101,106,147
162,Blue Ultra Very Light,205,228,237
163,Celadon Green Medium,79,128,95
164,Forest Green Light,193,220,178
165,Moss Green Very Light,234,239,136
166,Moss Green Medium Light,182,188,59
167,Yellow Beige Very Dark,146,105,57
168,Pewter Very Light,199,201,203
169,Pewter Light,131,133,127
208,Lavender Very Dark,140,85,155
209,Lavender Dark,175,122,176
210,Lavender Medium,201,160,204
211,Lavender Light,223,196,226
221,Shell Pink Very Dark,129,52,59
223,Shell Pink Light,197,115,112
224,Shell Pink Very Light,218,158,149
225,Shell Pink Ultra Very Light,248,222,212
300,Mahogany Very Dark,107,51,20
301,Mahogany Medium,162,82,47
304,Red Medium,169,27,56
307,Lemon,253,233,60
309,Rose Dark,188,40,71
310,Black,2,5,1
311,Wedgewood Ultra VeryDark,20,58,92
312,Baby Blue Very Dark,33,81,134
315,Antique Mauve Medium Dark,128,71,77
316,Antique Mauve Medium,189,121,131
317,Pewter Gray,102,105,109
318,Steel Gray Light,157,161,163
319,Pistachio Green Very Dark,47,89,53
320,Pistachio Green Medium,103,136,84
321,Red,188,33,60
322,Baby Blue Dark,69,119,168
326,Rose Very Dark,172,44,66
327,Violet Dark,105,44,109
333,Blue Violet Very Dark,87,62,132
334,Baby Blue Medium,110,153,193
335,Rose,217,73,98
336,Navy Blue,26,52,98
340,Blue Violet Medium,163,148,200
341,Blue Violet Light,170,176,214
347,Salmon Very Dark,187,40,56
349,Coral Dark,209,31,57
350,Coral Medium,227,68,70
351,Coral,233,100,94
352,Coral Light,245,139,127
353,Peach,251,195,180
355,Terra Cotta Dark,152,60,48
356,Terra Cotta Medium,196,102,84
367,Pistachio Green Dark,80,113,71
368,Pistachio Green Light,147,189,120
369,Pistachio Green Very Light,205,229,178
370,Mustard Medium,168,139,78
371,Mustard,188,163,98
372,Mustard Light,199,180,122
400,Mahogany Dark,136,65,28
402,Mahogany Very Light,238,158,101
407,Desert Sand Medium,190,127,95
413,Pewter Gray Dark,76,78,79
414,Steel Gray Dark,136,138,141
415,Pearl Gray,194,197,200
420,Hazelnut Brown Dark,153,106,56
422,Hazelnut Brown Light,213,174,120
433,Brown Medium,119,69,34
434,Brown Light,152,93,51
435,Brown Very Light,173,108,59
436,Tan,201,140,80
437,Tan Light,223,176,120
444,Lemon Dark,250,203,18
445,Lemon Light,253,244,135
451,Shell Gray Dark,142,120,113
452,Shell Gray Medium,187,168,161
453,Shell Gray Light,209,195,184
469,Avocado Green,102,118,58
470,Avocado Green Light,132,148,68
471,Avocado Green Very Light,170,184,91
472,Avocado Green Ultra Light,216,222,130
498,Red Dark,146,19,44
500,Blue Green Very Dark,21,66,47
501,Blue Green Dark,47,92,71
502,Blue Green,87,136,108
503,Blue Green Medium,130,171,144
504,Blue Green Very Light,192,225,206
505,Jade Green,92,152,116
517,Wedgewood Dark,39,107,143
518,Wedgewood Light,74,141,166
519,Sky Blue,130,182,208
520,Fern Green Dark,77,88,56
522,Fern Green,147,154,115
523,Fern Green Light,176,182,143
524,Fern Green Very Light,185,186,152
535,Ash Gray Very Light,82,82,73
543,Beige Brown Ultra Very Light,236,220,198
550,Violet Very Dark,90,28,85
552,Violet  Medium,135,60,131
553,Violet,169,99,159
554,Violet Light,212,161,199
561,Celadon Green Very Dark,43,103,72
562,Jade Medium,57,144,93
563,Jade Light,125,197,152
564,Jade Very Light,164,215,172
580,Moss Green Dark,104,120,41
581,Moss Green,148,152,51
597,Turquoise,80,164,174
598,Turquoise Light,143,199,200
600,Cranberry Very Dark,189,38,81
601,Cranberry Dark,204,43,95
602,Cranberry Medium,219,68,111
603,Cranberry,234,112,147
604,Cranberry Light,244,154,179
605,Cranberry Very Light,247,177,195
606,OrangeRed Bright,238,31,13
608,Burnt Orange Bright,247,84,40
610,Drab Brown Dark,118,94,63
611,Drab Brown,137,109,73
612,Drab Brown Light,184,155,107
613,Drab Brown Very Light,210,189,152
632,Desert Sand Ultra Very Dark,135,79,56
640,Beige Gray Very Dark,135,122,95
642,Beige Gray Dark,165,151,117
644,Beige Gray Medium,206,197,173
645,Beaver Gray Very Dark,102,100,86
646,Beaver Gray Dark,124,118,103
647,Beaver Gray Medium,167,161,145
648,Beaver Gray Light,183,180,169
666,Bright Red,210,33,60
676,Old Gold Light,237,205,134
677,Old Gold Very Light,246,230,183
680,Old Gold Dark,167,125,45
699,Green,5,103,41
700,Green Bright,7,115,48
701,Green Light,55,138,57
702,Kelly Green,65,149,53
703,Chartreuse,128,187,73
704,Chartreuse Bright,142,188,58
712,Cream,250,245,228
718,Plum,172,35,108
720,Orange Spice Dark,214,79,37
721,Orange Spice Medium,238,108,58
722,Orange Spice Light,243,142,89
725,Topaz Medium Light,252,200,69
726,Topaz Light,253,218,82
727,Topaz Very Light,254,233,139
728,Topaz,240,189,77
729,Old Gold Medium,208,158,67
730,Olive Green Very Dark,118,106,38
731,Olive Green Dark,121,107,38
732,Olive Green,124,109,38
733,Olive Green Medium,171,150,65
734,Olive Green Light,199,179,89
738,Tan Very Light,235,202,152
739,Tan Ultra Very Light,244,226,191
740,Tangerine,250,127,25
741,Tangerine Medium,248,149,33
742,Tangerine Light,248,172,62
743,Yellow Medium,253,208,94
744,Yellow Pale,254,222,123
745,Yellow Pale Light,254,233,168
746,Off White,250,245,224
747,Peacock Blue Very Light,217,239,237
754,Peach Light,247,206,184
758,Terra Cotta Very Light,232,168,140
760,Salmon,241,153,152
761,Salmon Light,250,192,192
762,Pearl Gray Very Light,222,223,221
772,Yellow Green Very Light,223,237,195
775,Baby Blue Very Light,199,216,225
776,Pink Medium,251,176,185
777,Raspberry Very Dark,142,28,61
778,Antique Mauve Very Light,217,168,168
779,Cocoa Dark,92,65,55
780,Topaz Ultra Very Dark,149,89,36
781,Topaz Very Dark,169,114,25
782,Topaz Dark,184,119,38
783,Topaz Medium,214,150,45
791,Cornflower Blue Very Dark,55,51,105
792,Cornflower Blue Dark,67,75,127
793,Cornflower Blue Medium,114,128,169
794,Cornflower Blue Light,158,178,212
796,Royal Blue Dark,22,59,125
797,Royal Blue,27,71,139
798,Delft Blue Dark,56,99,159
799,Delft Blue Medium,118,149,196
800,Delft Blue Pale,192,209,230
801,Coffee Brown Dark,93,56,28
803,Baby Blue Ultra Very Dark,30,71,115
806,Peacock Blue Dark,64,138,163
807,Peacock Blue,77,142,160
809,Delft Blue,140,166,206
813,Blue Light,150,188,215
814,Garnet Dark,113,13,41
815,Garnet Medium,131,17,45
816,Garnet,154,23,52
817,Coral Red Very Dark,183,16,38
818,Baby Pink,242,208,203
819,Baby Pink Light,245,227,219
820,Royal Blue Very Dark,20,44,109
822,Beige Gray Light,232,223,200
823,Navy Blue Dark,21,36,81
824,Blue Very Dark,37,90,134
825,Blue Dark,56,114,162
826,Blue Medium,83,134,177
827,Blue Very Light,173,205,225
828,Sky Blue Very Light,202,224,230
829,Golden Olive Very Dark,109,86,42
830,Golden Olive Dark,119,94,50
831,Golden Olive Medium,146,118,56
832,Golden Olive,171,134,61
833,Golden Olive Light,188,156,83
834,Golden Olive Very Light,222,193,105
838,Beige Brown Very Dark,78,59,40
839,Beige Brown Dark,93,72,54
840,Beige Brown Medium,133,104,71
841,Beige Brown Light,178,147,116
842,Beige Brown Very Light,206,184,156
844,Beaver Gray Ultra Dark,74,74,66
869,Hazelnut Brown Very Dark,118,79,44
890,Pistachio Green Ultra V Dark,32,65,39
891,Carnation Dark,237,66,88
892,Carnation Medium,245,95,110
893,Carnation Light,243,111,131
894,Carnation Very Light,249,155,168
895,Hunter Green Very Dark,38,76,29
898,Coffee Brown Very Dark,81,48,26
899,Rose Medium,229,110,127
900,Burnt Orange Dark,205,69,26
902,Garnet Very Dark,102,29,45
904,Parrot Green Very Dark,70,110,42
905,Parrot Green Dark,82,126,44
906,Parrot Green Medium,123,168,53
907,Parrot Green Light,181,210,72
909,Emerald Green Very Dark,13,112,70
910,Emerald Green Dark,15,132,82
911,Emerald Green Medium,18,149,93
912,Emerald Green Light,35,168,107
913,Nile Green Medium,100,187,123
915,Plum Dark,150,16,84
917,Plum Medium,162,25,97
918,RedCopper Dark,131,52,31
919,RedCopper,154,58,28
920,Copper Medium,171,73,39
921,Copper,193,89,44
922,Copper Light,222,113,53
924,Gray Green Very Dark,64,86,86
926,Gray Green Medium,118,141,134
927,Gray Green Light,169,186,183
928,Gray Green Very Light,200,210,207
930,Antique Blue Dark,68,92,110
931,Antique Blue Medium,102,128,146
932,Antique Blue Light,166,184,199
934,Avocado Green Black,50,54,31
935,Avocado Green Dark,63,70,41
936,Avocado Green Very Dark,76,81,43
937,Avocado Green Medium,81,95,48
938,Coffee Brown Ultra Dark,62,37,20
939,Navy Blue Very Dark,13,22,49
943,Green Bright Medium,24,147,120
945,Tawny,249,208,172
946,Burnt Orange Medium,232,81,25
947,Burnt Orange,249,100,48
948,Peach Very Light,251,230,212
950,Desert Sand Light,225,185,157
951,Tawny Light,250,223,193
954,Nile Green,128,199,143
955,Nile Green Light,172,222,176
956,Geranium,242,105,125
957,Geranium Pale,244,156,170
958,Sea Green Dark,35,169,144
959,Sea Green Medium,95,194,174
961,Dusty Rose Dark,215,99,115
962,Dusty Rose Medium,231,130,141
963,Dusty Rose Ultra Very Light,246,201,203
964,Sea Green Light,167,224,213
966,Jade Ultra Very Light,156,202,153
967,Apricot Very Light,250,208,190
970,Pumpkin Light,240,117,38
971,Pumpkin,245,111,18
972,Canary Deep,251,173,25
973,Canary Bright,253,216,25
975,Golden Brown Dark,138,71,27
976,Golden Brown Medium,197,117,54
977,Golden Brown Light,223,144,68
986,Forest Green Very Dark,54,81,48
987,Forest Green Dark,72,103,59
988,Forest Green Medium,106,136,76
989,Forest Green,117,152,87
991,Aquamarine Dark,34,109,92
992,Aquamarine Light,85,175,153
993,Aquamarine Very Light,118,198,172
995,Electric Blue Dark,14,127,186
996,Electric Blue Medium,47,181,233
3011,Khaki Green Dark,120,115,67
3012,Khaki Green Medium,144,137,76
3013,Khaki Green Light,187,183,123
3021,Brown Gray Very Dark,81,70,57
3022,Brown Gray Medium,145,143,118
3023,Brown Gray Light,166,157,132
3024,Brown Gray Very Light,214,211,201
3031,Mocha Brown Very Dark,70,56,33
3032,Mocha Brown Medium,183,161,129
3033,Mocha Brown Very Light,231,218,198
3041,Antique Violet Medium,142,105,120
3042,Antique Violet Light,186,163,173
3045,Yellow Beige Dark,184,144,85
3046,Yellow Beige Medium,217,190,135
3047,Yellow Beige Light,233,219,181
3051,Green Gray Dark,87,91,52
3052,Green Gray Medium,142,149,99
3053,Green Gray,164,168,122
3064,Desert Sand,182,117,86
3072,Beaver Gray Very Light,220,221,215
3078,Golden Yellow Very Light,252,243,180
3325,Baby Blue Light,174,205,227
3326,Rose Light,241,159,167
3328,Salmon Dark,206,85,91
3340,Apricot Medium,246,113,83
3341,Apricot,245,145,118
3345,Hunter Green Dark,49,87,39
3346,Hunter Green,81,112,61
3347,Yellow Green Medium,106,135,73
3348,Yellow Green Light,204,221,145
3350,Dusty Rose Ultra Dark,183,62,87
3354,Dusty Rose Light,230,160,168
3362,Pine Green Dark,74,87,57
3363,Pine Green Medium,106,125,80
3364,Pine Green,148,161,100
3371,Black Brown,36,24,10
3607,Plum Light,197,70,136
3608,Plum Very Light,227,144,189
3609,Plum Ultra Light,239,182,216
3685,Mauve Very Dark,118,31,56
3687,Mauve,183,82,100
3688,Mauve Medium,223,138,150
3689,Mauve Light,249,198,204
3705,Melon Dark,235,83,101
3706,Melon Medium,249,134,142
3708,Melon Light,249,171,181
3712,Salmon Medium,224,109,114
3713,Salmon Very Light,249,216,216
3716,Dusty Rose Medium Very Light,245,177,183
3721,Shell Pink Dark,157,67,71
3722,Shell Pink Medium,171,88,87
3726,Antique Mauve Dark,156,90,96
3727,Antique Mauve Light,215,161,167
3731,Dusty Rose Very Dark,208,87,111
3733,Dusty Rose,233,138,151
3740,Antique Violet Dark,121,84,93
3743,Antique Violet Very Light,217,204,210
3746,Blue Violet Dark,109,86,159
3747,Blue Violet Very Light,211,212,235
3750,Antique Blue Very Dark,44,73,90
3752,Antique Blue Very Light,193,207,215
3753,Antique Blue Ultra Very Light,216,226,231
3755,Baby Blue,139,177,213
3756,Baby Blue Ultra Very Light,233,244,245
3760,Wedgewood Medium,58,127,161
3761,Sky Blue Light,184,218,229
3765,Peacock Blue Very Dark,26,114,137
3766,Peacock Blue Light,111,176,191
3768,Gray Green Dark,80,105,102
3770,Tawny Very Light,253,239,219
3771,Terra Cotta Ultra Very Light,242,182,156
3772,Desert Sand Very Dark,165,102,73
3773,Desert Sand Dark,185,127,100
3774,Desert Sand Very Light,241,217,197
3776,Mahogany Light,207,112,59
3777,Terra Cotta Very Dark,144,48,39
3778,Terra Cotta Light,209,123,100
3779,Rosewood Ultra Very Light,243,192,175
3781,Mocha Brown Dark,97,75,53
3782,Mocha Brown Light,204,181,151
3787,Brown Gray Dark,99,90,75
3790,Beige Gray Ultra Dark,121,101,77
3799,Pewter Gray Very Dark,61,62,61
3801,Melon Very Dark,230,67,84
3802,Antique Mauve Very Dark,111,57,64
3803,Mauve Dark,145,47,78
3804,Cyclamen Pink Dark,210,46,106
3805,Cyclamen Pink,227,67,127
3806,Cyclamen Pink Light,239,111,156
3807,Cornflower Blue,84,99,153
3808,Turquoise Ultra Very Dark,26,84,93
3809,Turquoise Very Dark,34,111,125
3810,Turquoise Dark,56,147,163
3811,Turquoise Very Light,172,218,221
3812,Sea Green Very Dark,22,149,131
3813,Blue Green Light,155,198,174
3814,Aquamarine,37,132,110
3815,Celadon Green Dark,70,121,91
3816,Celadon Green,108,163,130
3817,Celadon Green Light,145,195,167
3818,Emerald Green Ultra V Dark,8,97,58
3819,Moss Green Light,219,216,86
3820,Straw Dark,218,168,67
3821,Straw,242,202,90
3822,Straw Light,248,219,126
3823,Yellow Ultra Pale,253,245,209
3824,Apricot Light,249,186,165
3825,Pumpkin Pale,247,167,114
3826,Golden Brown,170,100,51
3827,Golden Brown Pale,235,170,95
3828,Hazelnut Brown,175,129,73
3829,Old Gold Very Dark,162,110,27
3830,Terra Cotta,181,74,61
3831,Raspberry Dark,187,50,78
3832,Raspberry Medium,216,86,107
3833,Raspberry Light,229,125,142
3834,Grape Dark,109,49,87
3835,Grape Medium,139,81,115
3836,Grape Light,191,144,171
3837,Lavender Ultra Dark,114,53,124
3838,Lavender Blue Dark,88,108,158
3839,Lavender Blue Medium,108,128,180
3840,Lavender Blue Light,180,198,230
3841,Baby Blue Pale,197,218,229
3842,Wedgewood Very Dark,30,86,117
3843,Electric Blue,22,164,216
3844,Turquoise Bright Dark,18,155,186
3845,Turquoise Bright Medium,20,182,208
3846,Turquoise Bright Light,61,209,227
3847,Teal Green Dark,28,103,92
3848,Teal Green Medium,50,137,127
3849,Teal Green Light,71,173,155
3850,Green Bright Dark,31,133,93
3851,Green Bright Light,69,172,136
3852,Straw Very Dark,204,147,48
3853,Autumn Gold Dark,231,128,51
3854,Autumn Gold Medium,242,165,78
3855,Autumn Gold Light,251,215,146
3856,Mahogany Ultra Very Light,247,197,150
3857,Rosewood Dark,102,43,34
3858,Rosewood Medium,138,69,57
3859,Rosewood Light,191,130,109
3860,Cocoa,118,86,80
3861,Cocoa Light,159,125,116
3862,Mocha Beige Dark,128,95,59
3863,Mocha Beige Medium,141,109,78
3864,Mocha Beige Light,194,168,136
3865,Winter White,249,246,238
3866,Mocha Brown Ultra Very Light,244,238,227
B5200,SnowWhite,252,252,255
Ecru,Ecru/off-white,240,234,218
